T_C,initial_W_g,MPa200_W_g,MPa800_W_g
-100,-0.11,-0.12,-0.11
-95,-0.11,-0.12,-0.11
-90,-0.11,-0.12,-0.11
-85,-0.11,-0.12,-0.11
-80,-0.11,-0.12,-0.11
-75,-0.11,-0.12,-0.11
-70,-0.10,-0.12,-0.11
-65,-0.10,-0.12,-0.11
-60,-0.10,-0.12,-0.11
-55,-0.10,-0.12,-0.11
-50,-0.10,-0.12,-0.11
-45,-0.09,-0.11,-0.10
-40,-0.09,-0.11,-0.10
-35,-0.09,-0.11,-0.10
-30,-0.09,-0.11,-0.10
-25,-0.08,-0.10,-0.09
-20,-0.08,-0.10,-0.09
-15,-0.07,-0.09,-0.08
-10,-0.05,-0.05,-0.04
-5,-0.02,0.05,0.03
0,0.03,0.18,0.12
5,0.06,0.22,0.16
10,0.09,0.20,0.15
15,0.10,0.17,0.13
20,0.09,0.14,0.11
25,0.08,0.10,0.08
30,0.07,0.05,0.03
35,0.06,-0.05,-0.10
40,0.05,-0.15,-0.18
45,0.04,-0.22,-0.25
50,0.03,-0.28,-0.32
55,0.03,-0.22,-0.30
60,0.03,-0.15,-0.20
65,0.03,-0.10,-0.14
70,0.03,-0.08,-0.10
75,0.03,-0.06,-0.08
80,0.03,-0.05,-0.06
85,0.03,-0.04,-0.05
90,0.03,-0.03,-0.04
95,0.03,-0.02,-0.03

